"","AGE","BLUEBOOK","NEW_CAR","CAR_TYPE","CAR_USE","CLM_FREQ","EDUCATION","HOME_VAL","HOMEKIDS","INCOME","JOB","KIDSDRIV","MSTATUS","MVR_PTS","OLDCLAIM","PARENT1","RED_CAR","REVOKED","SEX","TIF","TRAVTIME","URBANICITY","YOJ"
"483",51,29330,0.0727272727272727,"Panel Truck","Commercial","2","PhD",351285,"0",141546,"Manager","0","No","4",1184,"No","yes","No","M",4,18,"Urban",7
"484",46,9570,0,"Pickup","Commercial","0","High School",173076,"0",34705,"Blue Collar","0","Yes","0",0,"No","yes","No","M",7,50,"Urban",14
"485",38,1630,0,"Sports Car","Private","2","No High School",0,"0",0,"Student","0","No","7",9228,"No","no","No","F",4,40,"Urban",0
"486",36,12050,1,"Sports Car","Commercial","2","High School",186300,"2",69546,"Blue Collar","0","Yes","1",5106,"No","no","No","F",1,33,"Urban",12
"487",41,16160,1,"Minivan","Private","0","Bachelors",0,"1",137815,"Manager","0","No","1",0,"Yes","no","Yes","F",9,33,"Urban",10
"488",43,10780,0,"SUV","Private","1","Bachelors",107149,"0",43505,"Clerical","0","No","5",3904,"No","no","No","F",4,37,"Urban",9
"489",41,28090,0,"Minivan","Private","2","High School",176946,"3",48762,"Clerical","0","Yes","4",3996,"No","no","No","F",1,26,"Urban",12
"490",45,15600,0,"Minivan","Private","3","Bachelors",0,"2",71119,"Clerical","2","No","5",3534,"Yes","no","No","F",1,43,"Urban",10
"491",39,9130,0,"SUV","Private","0","High School",176832,"2",40608,"Clerical","1","No","3",0,"Yes","no","No","F",9,20,"Urban",11.9202380952381
"492",43,20490,1,"Minivan","Private","0","High School",178766,"0",50260,"Professional","0","Yes","0",0,"No","no","No","F",6,36,"Urban",11
"493",36,8360,0,"Minivan","Private","3","PhD",190491,"0",32645,"Doctor","0","Yes","0",7466,"No","yes","No","M",4,51,"Urban",9
"494",39,17510,0,"Pickup","Commercial","0","High School",197575,"2",64990,"Professional","2","Yes","0",0,"No","no","No","F",10,5,"Urban",12.34625
"495",45,28300,1,"Panel Truck","Commercial","0","Masters",322746,"0",107012,"Manager","0","Yes","3",0,"No","yes","No","M",4,43,"Urban",13
"496",46,13720,0,"SUV","Private","0","Masters",0,"0",76216,"Home Maker","0","No","3",0,"No","no","Yes","F",4,56,"Urban",7
"497",51,12430,0,"Minivan","Commercial","1","High School",253662,"1",0,"Blue Collar","1","Yes","0",9000,"No","yes","No","M",1,5,"Urban",8
"498",55,9160,0,"Pickup","Commercial","0","Bachelors",0,"0",51512,"Clerical","0","No","0",0,"No","no","No","M",6,29,"Rural",12
"499",51,10310,0,"Pickup","Commercial","3","Masters",0,"0",37098,"Professional","0","No","2",9736,"No","yes","No","M",7,24,"Urban",14
"500",38,16860,0.234,"Minivan","Private","4","Bachelors",0,"1",100796,"Professional","1","No","0",3011,"Yes","yes","No","M",6,26,"Urban",9
"501",43,27250,0,"Panel Truck","Commercial","3","Masters",210868,"1",71402,"Manager","0","Yes","1",9712,"No","no","No","F",1,21,"Urban",12
"502",50,6500,1,"SUV","Private","0","High School",0,"0",0,"Home Maker","0","No","0",0,"No","no","No","F",7,8,"Urban",0
"503",29,6840,1,"SUV","Commercial","1","High School",0,"3",24365,"Student","0","No","2",36744,"Yes","no","Yes","F",7,9,"Urban",13
"504",40,16080,1,"Minivan","Private","0","Bachelors",0,"2",0,"Professional","0","No","0",0,"Yes","yes","No","M",3,5,"Urban",11
"505",43,23100,0,"Pickup","Private","4","Masters",213525,"3",53073,"Lawyer","2","No","5",5328,"Yes","no","No","F",10,39,"Urban",12
"506",52,7070,1,"Pickup","Private","0","No High School",148315,"0",0,"Student","0","Yes","2",0,"No","yes","No","M",4,62,"Rural",0
"507",51,11300,0,"Minivan","Commercial","4","Bachelors",175488,"0",46993,"Blue Collar","0","Yes","3",4219,"No","no","No","F",1,40,"Urban",8
"508",48,16540,1,"SUV","Private","0","No High School",127759,"0",16468,"Clerical","0","Yes","0",0,"No","no","No","F",1,19,"Urban",9
"509",43,19050,0.44,"SUV","Commercial","2","High School",285833,"2",83803,"Blue Collar","1","No","2",1670,"Yes","no","No","F",7,31,"Rural",12
"510",44,12930,0,"SUV","Private","1","Bachelors",202136,"2",63215,"Professional","1","Yes","5",7746,"No","no","No","F",6,9,"Urban",12.6391666666667
"511",46,21170,0.0399999999999999,"Pickup","Commercial","0","PhD",350087,"0",128026,"Manager","0","Yes","0",0,"No","no","No","F",6,27,"Urban",12
"512",34,1500,0,"SUV","Private","2","Bachelors",233461,"1",74356,"Manager","0","Yes","8",5926,"No","no","No","F",13,41,"Urban",10
"513",37,22300,0,"Minivan","Private","0","No High School",0,"3",29251,"Clerical","1","No","0",0,"Yes","no","No","F",12,37,"Urban",6
"514",28,6180,1,"Minivan","Private","0","No High School",104450,"2",11550,"Clerical","0","Yes","0",0,"No","no","No","M",1,23,"Rural",11.3602777777778
"515",45,27150,0.06,"Pickup","Private","0","Masters",0,"0",124745,"Lawyer","0","No","2",0,"No","no","No","F",6,45,"Urban",11
"516",51,13790,0,"Minivan","Private","0","Bachelors",0,"0",71939,"Manager","0","No","2",0,"No","no","No","M",1,14,"Urban",11
"517",37,22690,0,"Panel Truck","Commercial","4","No High School",0,"2",36073,"Clerical","0","Yes","5",8193,"No","yes","No","M",6,32,"Urban",11
"518",44,5900,0,"Sports Car","Private","1","Masters",391566,"2",142551,"Lawyer","2","No","8",39019,"Yes","no","No","F",11,16,"Urban",13
"519",47,24310,0.425,"Panel Truck","Commercial","0","High School",0,"0",69496,"Professional","0","No","0",0,"No","yes","No","M",10,43,"Urban",7
"520",49,21130,1,"Van","Commercial","2","High School",0,"0",41068,"Blue Collar","0","No","0",7463,"No","yes","No","M",6,28,"Urban",10
"521",45,16550,0,"Minivan","Private","0","No High School",166715,"1",51221,"Clerical","0","Yes","1",0,"No","yes","No","M",1,51,"Urban",9
"522",44,22490,0,"Minivan","Private","0","PhD",0,"0",0,"Home Maker","0","No","1",0,"No","no","No","F",11,26,"Urban",0
"523",49,27660,0,"Panel Truck","Commercial","0","Bachelors",245655,"0",96057,"Professional","0","Yes","2",0,"No","no","No","M",6,76,"Urban",13
"524",35,11040,0,"Minivan","Private","2","Masters",155474,"0",37684,"Professional","0","No","3",9788,"No","yes","No","M",1,29,"Urban",5
"525",41,11230,0,"Minivan","Private","1","Bachelors",179309,"0",56281,"Manager","0","No","1",5916,"No","no","No","M",1,54,"Urban",11
"526",56,14990,0,"Minivan","Private","0","Bachelors",191197,"1",50384,"Manager","0","Yes","0",0,"No","yes","No","M",1,38,"Urban",12.63
"527",51,13610,0,"Minivan","Private","0","Masters",229038,"0",57910,"Lawyer","0","Yes","2",0,"No","no","No","M",10,13,"Urban",10.5394024276377
"528",41,22220,0,"Van","Commercial","0","PhD",352314,"1",141776,"Manager","0","Yes","0",0,"No","no","No","M",4,62,"Rural",12
"529",38,21430,0,"Minivan","Private","0","No High School",136298,"4",30735,"Clerical","0","Yes","0",0,"No","no","No","F",10,15,"Rural",19
"530",51,24860,1,"Minivan","Commercial","1","High School",319207,"0",104346,"Blue Collar","0","Yes","3",2131,"No","no","No","F",17,33,"Urban",12.051
"531",62,20880,0,"Minivan","Private","1","Masters",195895,"0",34580,"Lawyer","0","Yes","3",6200,"No","no","No","F",1,12,"Rural",11
"532",47,11980,0,"SUV","Private","0","Masters",0,"0",130087,"Lawyer","0","No","0",0,"No","no","No","F",1,28,"Urban",8
"533",47,21420,0,"Minivan","Commercial","0","Bachelors",167038,"0",59233,"Blue Collar","0","No","1",0,"No","no","No","F",1,14,"Urban",9
"534",53,19330,0,"Van","Commercial","1","High School",249756,"0",91924,"Blue Collar","0","Yes","3",20463,"No","no","Yes","M",13,5,"Urban",11
"535",47,14220,0,"Minivan","Private","0","Bachelors",254729,"0",60936,"Professional","0","Yes","0",0,"No","no","No","M",10,24,"Urban",12
"536",53,20050,0,"Van","Commercial","0","Bachelors",368061,"0",132536,"Professional","0","Yes","0",0,"No","no","No","M",1,43,"Urban",8
"537",55,10690,0,"Minivan","Private","0","Masters",0,"0",41341,"Lawyer","0","No","0",0,"No","no","Yes","F",7,24,"Urban",12
"538",41,9380,0,"SUV","Private","0","Bachelors",169247,"0",37771,"Home Maker","0","Yes","0",0,"No","no","No","F",4,44,"Rural",7
"539",56,17180,0,"Van","Private","0","PhD",0,"0",112246,"Lawyer","0","No","2",0,"No","no","No","M",7,10,"Urban",13
"540",38,19120,0,"SUV","Private","0","Bachelors",256582,"0",94513,"Manager","0","Yes","0",0,"No","no","No","F",10,20,"Urban",7
"541",56,34460,0,"Pickup","Private","0","Masters",426818,"0",146309,"Lawyer","0","Yes","3",0,"No","no","No","F",6,11,"Urban",12
"542",41,12860,1,"SUV","Private","0","High School",0,"0",0,"Home Maker","0","No","0",0,"No","no","No","F",4,40,"Rural",0
"543",54,10980,0,"SUV","Private","2","Masters",0,"0",40818,"Lawyer","0","No","0",5050,"No","no","No","F",1,34,"Urban",12
"544",31,4600,0,"Minivan","Private","1","Bachelors",128843,"1",30348,"Clerical","0","No","4",2118,"Yes","no","No","M",10,47,"Urban",8
"545",61,27990,0,"Minivan","Commercial","0","High School",488199,"0",203920,"Blue Collar","0","Yes","0",0,"No","no","No","M",1,42,"Rural",14
"546",52,3030,0,"Minivan","Private","2","High School",0,"0",7356,"Student","0","Yes","0",6796,"No","no","No","M",1,20,"Urban",14
"547",39,28390,0,"Minivan","Private","0","Masters",0,"0",111619,"Lawyer","0","No","0",0,"No","yes","No","M",4,24,"Urban",10
"548",63,16250,0,"SUV","Commercial","3","High School",0,"0",42209,"Blue Collar","0","No","8",6379,"No","no","No","M",1,22,"Urban",15
"549",53,18880,1,"Van","Commercial","0","Bachelors",0,"0",72537,"Blue Collar","0","No","3",0,"No","yes","No","M",1,23,"Urban",12
"550",41,5700,0,"SUV","Private","3","High School",0,"0",0,"Home Maker","0","Yes","0",50807,"No","no","No","F",7,49,"Rural",0
"551",39,5400,0,"Pickup","Private","0","High School",0,"2",36143,"Clerical","0","No","0",0,"Yes","yes","No","M",1,44,"Rural",12
"552",45,22720,0,"Panel Truck","Commercial","0","Bachelors",219806,"3",54391,"Clerical","3","Yes","0",0,"No","yes","No","M",1,22,"Rural",14
"553",54,15630,1,"SUV","Private","0","Masters",411675,"0",141318,"Lawyer","0","Yes","0",0,"No","no","No","F",15,38,"Urban",11
"554",35,8470,1,"Pickup","Private","0","High School",0,"0",58310,"Blue Collar","0","No","2",0,"No","no","No","M",1,33,"Urban",12
"555",53,15990,0,"Minivan","Private","0","Masters",0,"0",30012,"Manager","0","No","0",0,"No","no","Yes","F",17,17,"Urban",9
"556",47,8760,0,"Pickup","Commercial","0","High School",141115,"0",25620,"Clerical","0","Yes","0",0,"No","yes","No","M",1,64,"Rural",11.0579761904762
"557",40,15490,1,"SUV","Private","2","High School",120237,"0",25645,"Clerical","0","Yes","0",5375,"No","no","No","F",1,50,"Urban",14
"558",54,17160,1,"SUV","Private","0","High School",0,"0",0,"Student","0","No","0",0,"No","no","No","F",1,29,"Rural",2.78558441558442
"559",43,21600,0,"Van","Commercial","0","No High School",244354,"2",82356,"Blue Collar","1","Yes","0",0,"No","yes","No","M",1,33,"Urban",13
"560",44,11100,1,"Pickup","Private","2","High School",122698,"2",14041,"Clerical","0","Yes","0",1297,"No","yes","No","F",4,30,"Urban",15
"561",30,11140,0,"SUV","Private","0","Masters",299281,"2",103185,"Manager","0","Yes","0",0,"No","no","No","F",7,9,"Urban",12
"562",50,1500,1,"Sports Car","Private","2","Bachelors",88189,"0",0,"Home Maker","0","Yes","0",26452,"No","no","No","F",11,44,"Urban",0
"563",37,12900,1,"SUV","Private","0","High School",138610,"2",35738,"Clerical","0","Yes","1",0,"No","no","No","F",1,46,"Urban",12
"564",52,2250,0.113333333333333,"Minivan","Private","4","Masters",199353,"0",63807,"Lawyer","0","No","0",9155,"No","yes","No","M",9,50,"Urban",11
"565",60,10800,0,"Minivan","Private","4","Bachelors",160005,"2",8287,"Home Maker","2","Yes","0",937,"No","no","No","F",1,63,"Urban",9
"566",44,19310,0,"Van","Commercial","1","Bachelors",207095,"0",61597,"Manager","0","Yes","0",2576,"No","yes","No","M",6,25,"Urban",10
"567",42,20040,1,"Sports Car","Commercial","0","High School",0,"2",57379,"Blue Collar","2","No","2",0,"Yes","no","Yes","F",1,37,"Urban",8
"568",38,8870,1,"Pickup","Private","0","No High School",135668,"2",35653,"Blue Collar","1","Yes","0",0,"No","yes","No","M",1,34,"Urban",12
"569",38,14870,0.19,"Sports Car","Private","3","Bachelors",196543,"1",46138,"Professional","0","No","2",14954,"Yes","no","No","F",10,30,"Urban",7
"570",34,8640,1,"SUV","Private","3","Masters",173675,"1",37364,"Lawyer","0","No","1",43725,"Yes","no","Yes","F",8,49,"Urban",9
"571",54,13570,0,"Minivan","Private","0","High School",81350,"0",0,"Home Maker","0","Yes","0",0,"No","no","No","F",7,33,"Urban",0
"572",47,6880,1,"Minivan","Commercial","0","High School",0,"0",0,"Student","0","Yes","0",0,"No","yes","No","M",6,18,"Urban",13
"573",50,8510,0,"Pickup","Commercial","0","Masters",0,"0",70135,"Manager","0","No","3",0,"No","yes","No","M",1,5,"Urban",11.7685029761905
"574",45,14510,0,"Minivan","Private","0","Bachelors",231593,"1",65940,"Professional","0","Yes","0",0,"No","no","No","M",6,43,"Urban",13
"575",47,9150,0,"SUV","Private","0","Bachelors",278542,"0",108776,"Manager","0","Yes","1",0,"No","no","No","F",1,47,"Urban",9
"576",45,26500,0,"Minivan","Private","0","Bachelors",191309,"0",60245,"Home Maker","0","Yes","0",0,"No","no","No","F",13,48,"Rural",10
"577",44,13930,0,"Sports Car","Commercial","0","High School",0,"0",34358,"Blue Collar","0","No","1",0,"No","no","No","F",6,36,"Rural",10
"578",60,22300,0,"Sports Car","Private","2","PhD",310049,"0",105173,"Doctor","0","Yes","0",4634,"No","no","No","F",4,34,"Urban",14
"579",45,10810,0.25,"Sports Car","Private","0","Bachelors",181752,"3",0,"Student","2","Yes","1",0,"No","no","Yes","F",13,38,"Urban",7
"580",58,7300,0,"Pickup","Private","2","Masters",0,"0",90672,"Manager","0","No","0",9090,"No","yes","No","M",1,43,"Urban",10
"581",59,11650,1,"SUV","Private","0","High School",147599,"2",15210,"Student","0","Yes","0",0,"No","no","No","F",1,50,"Rural",14
"582",53,12530,0,"Minivan","Commercial","2","High School",0,"0",0,"Student","0","Yes","7",2796,"No","no","No","F",6,31,"Urban",0
"583",41,25530,0,"Van","Private","0","Bachelors",182239,"0",71537,"Professional","0","No","0",0,"No","no","No","F",13,22,"Urban",11
"584",58,2480,1,"Minivan","Private","2","No High School",0,"3",9750,"Student","2","Yes","3",3741,"No","yes","Yes","M",1,50,"Urban",18
"585",49,34580,0,"Panel Truck","Commercial","0","High School",306616,"0",106915,"Manager","0","Yes","0",0,"No","yes","No","M",13,24,"Urban",13
"586",56,28790,0,"Minivan","Private","0","Bachelors",240945,"0",59675,"Professional","0","Yes","0",0,"No","no","No","M",1,39,"Urban",8
"587",53,33290,0,"Minivan","Private","0","Masters",64888,"0",0,"Lawyer","0","Yes","3",0,"No","no","No","F",6,24,"Urban",0
"588",30,21820,0,"Sports Car","Commercial","0","Bachelors",183997,"1",59388,"Blue Collar","0","Yes","1",0,"No","no","Yes","F",4,56,"Rural",15
"589",26,4100,1,"Minivan","Commercial","0","High School",0,"3",0,"Student","0","No","3",0,"Yes","no","No","M",1,41,"Urban",0
"590",34,6520,1,"Sports Car","Private","0","No High School",0,"5",16167,"Clerical","0","No","1",0,"Yes","no","Yes","F",1,66,"Rural",15
"591",38,11240,0,"SUV","Private","0","Masters",209595,"2",59395,"Lawyer","2","Yes","0",0,"No","no","No","F",1,64,"Urban",12
"592",32,11180,0,"SUV","Private","1","Bachelors",0,"0",85402,"Manager","0","No","1",5924,"No","no","No","F",7,32,"Urban",7
"593",50,25900,0,"Minivan","Private","0","High School",189718,"0",38462,"Clerical","0","Yes","0",0,"No","no","No","F",10,37,"Rural",11
"594",45,6000,0,"SUV","Commercial","1","Bachelors",175634,"3",61094,"Blue Collar","0","Yes","0",5528,"No","no","No","F",6,45,"Urban",17
"595",35,5220,1,"Sports Car","Private","2","High School",107045,"0",2540,"Home Maker","0","Yes","5",7714,"No","no","No","F",6,35,"Urban",11
"596",33,9120,0,"Pickup","Commercial","0","High School",185796,"3",0,"Blue Collar","0","Yes","1",0,"No","yes","Yes","M",10,45,"Urban",9
"597",43,20270,0.13,"Pickup","Private","2","Bachelors",0,"2",76159,"Professional","1","No","1",3255,"Yes","no","No","F",3,52,"Urban",11
"598",34,7390,0,"Pickup","Commercial","2","High School",166510,"4",24897,"Clerical","0","Yes","2",23866,"No","yes","No","M",17,26,"Urban",12
"599",40,12080,1,"Minivan","Private","0","High School",236449,"2",65759,"Professional","2","Yes","0",0,"No","no","No","F",6,53,"Urban",13
"600",33,5430,0,"SUV","Private","0","High School",0,"2",0,"Home Maker","0","Yes","3",0,"No","no","Yes","F",6,32,"Urban",0
"601",33,14280,0,"SUV","Private","0","High School",0,"1",25037,"Clerical","0","No","0",0,"Yes","no","No","F",1,31,"Urban",4
"602",36,15960,1,"Minivan","Private","2","High School",0,"0",39786,"Manager","0","No","3",19115,"No","no","Yes","M",4,5,"Urban",11
"603",34,18000,1,"Pickup","Private","3","Bachelors",233154,"1",62708,"Professional","0","Yes","1",51345,"No","no","Yes","F",16,48,"Urban",11
"604",48,19220,0,"Minivan","Private","0","Masters",0,"0",102861,"Lawyer","0","No","2",0,"No","yes","No","M",1,43,"Urban",8
"605",45,24910,0,"Panel Truck","Commercial","0","Bachelors",190092,"0",53420,"Professional","0","Yes","2",0,"No","yes","No","M",1,65,"Urban",8
"606",45,17120,0,"Sports Car","Private","1","No High School",197502,"2",31497,"Blue Collar","0","Yes","8",6680,"No","no","No","F",6,5,"Urban",15
"607",33,21100,0,"Van","Commercial","3","Bachelors",217763,"1",83664,"Blue Collar","0","Yes","7",5495,"No","yes","No","M",4,54,"Urban",10
"608",38,7530,0,"Sports Car","Private","0","No High School",0,"2",22319,"Blue Collar","1","Yes","0",0,"No","no","No","F",3,47,"Rural",14
"609",59,28560,0,"Panel Truck","Commercial","2","PhD",512934,"0",210115,"Manager","0","No","2",785,"No","yes","No","M",4,30,"Urban",13
"610",50,30350,0,"Panel Truck","Commercial","0","Masters",215831,"0",79941,"Professional","0","Yes","1",0,"No","yes","No","M",8,12,"Urban",13
"611",41,9030,1,"Pickup","Private","0","High School",97504,"1",34304,"Clerical","1","No","0",0,"Yes","yes","No","M",6,57,"Rural",5
"612",46,26790,0,"Minivan","Commercial","2","High School",191957,"0",33635,"Blue Collar","0","Yes","3",3960,"No","no","No","F",7,55,"Urban",12
"613",49,19080,0,"Minivan","Private","0","High School",179613,"0",29844,"Clerical","0","Yes","0",0,"No","no","No","F",4,47,"Rural",8
"614",34,18290,0,"Van","Private","0","Bachelors",343257,"2",133937,"Professional","0","No","0",0,"Yes","no","No","M",1,26,"Rural",15
"615",29,20570,0,"Pickup","Commercial","0","Bachelors",0,"4",0,"Student","0","Yes","2",0,"No","no","No","F",4,38,"Urban",0
"616",43,15050,0,"Minivan","Private","0","Bachelors",0,"0",58112,"Clerical","0","No","2",0,"No","yes","No","M",3,34,"Rural",7
"617",42,13860,0,"Minivan","Private","0","Masters",274947,"3",96752,"Manager","3","Yes","0",0,"No","yes","No","M",10,22,"Urban",15
"618",35,5000,0,"Pickup","Commercial","3","High School",0,"2",34385,"Student","0","Yes","4",7788,"No","no","No","M",19,34,"Urban",15
"619",36,22850,0,"Panel Truck","Commercial","0","Masters",0,"0",101077,"Manager","0","Yes","3",0,"No","yes","No","M",4,42,"Urban",12
"620",57,22780,1,"Pickup","Commercial","1","High School",166747,"4",39953,"Blue Collar","0","Yes","8",7119,"No","no","No","F",1,43,"Urban",19
"621",53,29770,1,"SUV","Private","0","High School",161352,"0",33303,"Manager","0","Yes","2",0,"No","no","Yes","F",6,48,"Urban",14
"622",38,23450,0,"Minivan","Private","2","Masters",460598,"0",181453,"Lawyer","0","Yes","3",19336,"No","no","Yes","F",4,63,"Urban",11
"623",47,11400,0,"Sports Car","Private","0","PhD",158061,"0",40764,"Manager","0","Yes","1",0,"No","no","No","F",1,16,"Urban",9
"624",28,12180,0,"SUV","Private","3","Masters",216473,"3",0,"Lawyer","0","Yes","3",7820,"No","no","No","F",10,59,"Urban",11
"625",64,13130,1,"SUV","Private","0","Masters",290724,"0",96238,"Lawyer","0","Yes","2",0,"No","yes","No","M",1,40,"Urban",10
"626",17,23400,1,"Panel Truck","Commercial","2","High School",152243,"0",40015,"Blue Collar","0","No","7",2047,"No","yes","No","M",7,50,"Urban",6
"627",46,11810,0,"Pickup","Commercial","1","High School",192619,"0",57136,"Professional","0","Yes","7",8446,"No","yes","No","M",8,55,"Urban",11.4533333333333
"628",50,13520,0,"SUV","Private","0","Bachelors",177094,"0",61082,"Manager","0","Yes","0",0,"No","no","No","F",1,48,"Urban",13
"629",46,11340,0,"Minivan","Private","0","Bachelors",158113,"0",52411,"Manager","0","Yes","2",0,"No","yes","No","M",6,14,"Urban",14
"630",35,11770,0,"Pickup","Commercial","3","Bachelors",181552,"0",67702,"Blue Collar","0","Yes","6",48743,"No","no","Yes","M",1,11,"Urban",12
"631",48,33540,1,"Minivan","Commercial","0","High School",0,"0",0,"Student","0","Yes","0",0,"No","yes","No","M",4,23,"Rural",0
"632",58,37320,0,"Pickup","Commercial","0","Masters",0,"0",153831,"Professional","0","No","0",0,"No","no","Yes","F",6,35,"Urban",10
"633",39,5400,1,"Sports Car","Private","0","High School",99103,"2",0,"Home Maker","2","Yes","1",0,"No","no","No","F",1,46,"Rural",0
"634",36,13310,0,"SUV","Private","2","PhD",267268,"0",82109,"Doctor","0","No","0",3087,"No","no","No","F",1,18,"Urban",8
"635",55,7000,0,"Pickup","Commercial","2","PhD",669271,"0",291182,"Manager","0","Yes","0",22215,"No","yes","Yes","M",8,16,"Urban",12
"636",40,30610,0,"Panel Truck","Commercial","1","PhD",388549,"0",126483,"Manager","0","Yes","2",1853,"No","yes","No","M",6,36,"Urban",11
"637",46,28290,0,"Panel Truck","Commercial","0","Masters",0,"0",175117,"Manager","0","No","2",0,"No","yes","No","M",7,28,"Urban",13
"638",41,24510,1,"Pickup","Commercial","1","High School",182684,"2",53940,"Blue Collar","0","Yes","3",24295,"No","no","Yes","F",1,32,"Urban",14
"639",40,10420,0,"Pickup","Commercial","0","Bachelors",186066,"0",49182,"Blue Collar","0","Yes","0",0,"No","no","No","M",4,28,"Urban",9
"640",41,31920,0,"Van","Commercial","2","Bachelors",296329,"3",104088,"Professional","1","Yes","0",6274,"No","no","No","F",6,23,"Urban",13
"641",37,14380,1,"Minivan","Private","2","High School",112656,"0",24933,"Clerical","0","Yes","0",5095,"No","no","No","M",1,29,"Urban",11
"642",60,21970,0.19,"Van","Private","1","Bachelors",0,"1",144202,"Professional","0","No","6",40682,"Yes","yes","No","M",6,50,"Urban",13
"643",39,5690,1,"SUV","Private","0","No High School",0,"3",2947,"Student","0","Yes","2",0,"No","no","No","F",7,24,"Rural",17
"644",47,6200,0,"SUV","Private","0","Masters",318397,"0",116008,"Manager","0","Yes","1",0,"No","no","No","F",6,36,"Urban",13
"645",37,38340,0,"Panel Truck","Commercial","1","Bachelors",281454,"0",113153,"Professional","0","Yes","6",3841,"No","yes","No","M",10,45,"Urban",7
"646",43,22070,0,"SUV","Private","1","Bachelors",320017,"2",96011,"Professional","1","No","0",44668,"Yes","no","Yes","F",3,39,"Urban",11
"647",52,27520,1,"Panel Truck","Commercial","0","High School",224049,"0",73574,"Professional","0","Yes","0",0,"No","yes","Yes","M",1,13,"Urban",7
"648",49,20310,1,"Van","Private","2","High School",159544,"0",34628,"Professional","0","Yes","3",7467,"No","yes","No","M",3,43,"Urban",14
"649",43,3520,0.0799999999999999,"Minivan","Private","2","Masters",245316,"3",69245,"Manager","3","Yes","5",8167,"No","no","No","M",1,16,"Urban",15
"650",54,6900,0.0966666666666666,"SUV","Private","0","PhD",0,"0",139157,"Professional","0","No","4",0,"No","no","No","F",1,23,"Urban",10
"651",41,32570,0,"Panel Truck","Commercial","0","Bachelors",0,"0",139975,"Manager","0","Yes","0",0,"No","yes","No","M",13,26,"Urban",14
"652",47,10250,0,"Pickup","Private","0","No High School",196730,"0",40495,"Blue Collar","0","Yes","0",0,"No","yes","No","M",10,5,"Urban",15
"653",36,5100,0,"Pickup","Private","2","No High School",0,"3",0,"Student","2","No","1",7205,"Yes","no","No","M",9,47,"Urban",0
"654",33,19890,0,"Minivan","Private","0","Bachelors",304908,"1",111718,"Blue Collar","0","Yes","0",0,"No","no","No","F",6,44,"Rural",11.3172619047619
"655",31,10280,1,"Pickup","Private","2","Bachelors",192337,"1",56782,"Professional","0","Yes","2",2548,"No","yes","No","M",14,29,"Urban",10
"656",49,18020,0,"SUV","Commercial","0","Bachelors",282961,"0",106161,"Blue Collar","0","Yes","0",0,"No","no","No","F",1,31,"Urban",12
"657",40,22930,0,"Panel Truck","Commercial","0","Bachelors",0,"2",16641,"Student","1","Yes","0",0,"No","yes","No","M",6,32,"Urban",16
"658",65,23990,0,"Minivan","Private","0","Masters",302832,"0",85894,"Manager","0","Yes","2",0,"No","yes","No","M",3,37,"Urban",10
"659",38,22880,0,"Minivan","Private","0","High School",111642,"0",27370,"Clerical","0","Yes","0",0,"No","yes","Yes","M",4,14,"Urban",12
"660",54,8450,0.474166666666667,"Pickup","Commercial","0","High School",0,"0",63339,"Blue Collar","0","No","0",0,"No","no","No","M",10,33,"Rural",13
"661",49,19780,0,"SUV","Commercial","1","Bachelors",0,"0",26301,"Student","0","Yes","3",1645,"No","no","No","F",4,32,"Urban",14
"662",49,5590,0,"SUV","Private","3","High School",153166,"0",46507,"Professional","0","Yes","0",14074,"No","no","Yes","F",6,32,"Urban",13
"663",48,8910,0,"SUV","Private","3","Bachelors",0,"0",43636,"Student","0","No","5",957,"No","no","No","F",20,34,"Urban",9
"664",51,19610,0,"Van","Private","0","Masters",303037,"0",128221,"Lawyer","0","No","0",0,"No","yes","No","M",3,71,"Urban",15
"665",41,5600,1,"Minivan","Private","0","High School",0,"0",40466,"Clerical","0","No","1",0,"No","no","No","F",10,21,"Urban",13
"666",31,8850,0,"Pickup","Private","3","High School",163297,"1",42492,"Clerical","0","Yes","5",1109,"No","yes","No","M",1,14,"Urban",13
"667",47,24400,0,"Panel Truck","Commercial","3","PhD",195091,"0",59963,"Manager","0","Yes","0",23116,"No","yes","Yes","M",6,18,"Urban",10
"668",49,14590,0.0499999999999999,"Minivan","Private","0","Masters",274564,"0",0,"Lawyer","0","Yes","0",0,"No","no","No","F",4,40,"Urban",15
"669",55,5480,1,"Sports Car","Private","1","High School",156508,"0",39833,"Blue Collar","0","Yes","3",8806,"No","no","No","F",12,32,"Urban",12
"670",45,49940,0,"Sports Car","Private","0","Masters",0,"0",177365,"Lawyer","0","Yes","3",0,"No","no","No","F",7,20,"Urban",11
"671",44,17350,0,"Van","Commercial","0","High School",128578,"0",18189,"Clerical","0","Yes","0",0,"No","no","No","M",10,12,"Urban",7
"672",51,1500,0,"SUV","Private","3","Bachelors",104143,"0",15732,"Home Maker","0","Yes","7",5379,"No","no","No","F",1,45,"Urban",14
"673",28,1980,1,"Minivan","Private","3","No High School",0,"1",4843,"Student","0","No","5",3018,"Yes","yes","No","M",9,21,"Urban",8
"674",43,9330,1,"SUV","Private","0","No High School",0,"0",35293,"Clerical","0","No","0",0,"No","no","No","F",6,28,"Rural",13
"675",37,10100,1,"Pickup","Private","2","High School",155824,"2",31212,"Clerical","1","Yes","0",11626,"No","yes","No","M",1,36,"Urban",13
